"year" "plot" "species" "#adults" "#saplings" "#seedlings"
"93" 2023 "OM1" "Cistus libanotis" 7 0 0
"94" 2023 "OM1" "Halimium commutatum" 14 0 0
"95" 2023 "OM1" "Halimium halimifolium" 1 0 13
"96" 2023 "OM1" "Juniperus phoenicea" 2 0 0
"97" 2023 "OM1" "Lavandula stoechas" 1 5 1
"98" 2023 "OM1" "Rosmarinus officinalis" 8 4 2
"99" 2023 "OM1" "Thymus mastichina" 1 0 0
"100" 2023 "OM2" "Cistus libanotis" 6 0 0
"101" 2023 "OM2" "Halimium commutatum" 20 0 0
"102" 2023 "OM2" "Halimium halimifolium" 7 3 5
"103" 2023 "OM2" "Juniperus phoenicea" 3 0 0
"104" 2023 "OM2" "Lavandula stoechas" 11 1 40
"105" 2023 "OM2" "Pinus pinea" 1 0 0
"106" 2023 "OM2" "Rosmarinus officinalis" 1 1 0
"107" 2023 "OM2" "Stauracanthus genistoides" 4 0 0
"108" 2023 "OM3" "Cistus libanotis" 2 0 0
"109" 2023 "OM3" "Halimium commutatum" 2 0 0
"110" 2023 "OM3" "Halimium halimifolium" 3 7 0
"111" 2023 "OM3" "Helichrysum picardii" 1 0 0
"112" 2023 "OM3" "Juniperus phoenicea" 8 0 0
"113" 2023 "OM3" "Lavandula stoechas" 8 4 20
"114" 2023 "OM3" "Rosmarinus officinalis" 13 7 1
"115" 2023 "OM3" "Stauracanthus genistoides" 4 0 0
"116" 2023 "OM4" "Cistus libanotis" 15 0 0
"117" 2023 "OM4" "Halimium commutatum" 9 0 0
"118" 2023 "OM4" "Halimium halimifolium" 2 1 1
"119" 2023 "OM4" "Juniperus phoenicea" 3 0 0
"120" 2023 "OM4" "Lavandula stoechas" 1 0 3
"121" 2023 "OM4" "Rosmarinus officinalis" 17 11 1
"122" 2023 "OM4" "Thymus mastichina" 2 0 0
"123" 2023 "OM5" "Halimium commutatum" 3 0 0
"124" 2023 "OM5" "Halimium halimifolium" 4 0 3
"125" 2023 "OM5" "Juniperus phoenicea" 1 0 0
"126" 2023 "OM5" "Lavandula stoechas" 4 0 1
"127" 2023 "OM5" "Rosmarinus officinalis" 15 0 1
"128" 2023 "OM5" "Stauracanthus genistoides" 2 0 0
"129" 2023 "OM6" "Asparagus horridus" 1 0 0
"130" 2023 "OM6" "Cistus libanotis" 8 0 0
"131" 2023 "OM6" "Halimium commutatum" 2 0 0
"132" 2023 "OM6" "Halimium halimifolium" 2 1 2
"133" 2023 "OM6" "Helichrysum picardii" 2 0 11
"134" 2023 "OM6" "Juniperus phoenicea" 2 0 0
"135" 2023 "OM6" "Lavandula stoechas" 3 0 0
"136" 2023 "OM6" "Rosmarinus officinalis" 8 3 0
"137" 2024 "CM1" "Cistus libanotis" 12 0 3
"138" 2024 "CM1" "Halimium commutatum" 4 0 4
"139" 2024 "CM1" "Halimium halimifolium" 2 0 5
"140" 2024 "CM1" "Helichrysum picardii" 9 0 3
"141" 2024 "CM1" "Juniperus phoenicea" 0 0 1
"142" 2024 "CM1" "Lavandula stoechas" 17 0 14
"143" 2024 "CM1" "Rosmarinus officinalis" 6 0 2
"144" 2024 "CM1" "Thymus mastichina" 1 0 2
"145" 2024 "CM2" "Cistus libanotis" 9 1 5
"146" 2024 "CM2" "Halimium commutatum" 5 0 0
"147" 2024 "CM2" "Juniperus phoenicea" 1 0 4
"148" 2024 "CM2" "Lavandula stoechas" 1 0 11
"149" 2024 "CM2" "Rosmarinus officinalis" 7 0 2
"150" 2024 "CM2" "Thymus mastichina" 0 0 2
"151" 2024 "CM3" "Cistus libanotis" 7 0 10
"152" 2024 "CM3" "Halimium commutatum" 2 0 0
"153" 2024 "CM3" "Halimium halimifolium" 9 0 4
"154" 2024 "CM3" "Helichrysum picardii" 0 0 1
"155" 2024 "CM3" "Juniperus phoenicea" 1 0 0
"156" 2024 "CM3" "Lavandula stoechas" 12 1 23
"157" 2024 "CM3" "Rosmarinus officinalis" 17 1 15
"158" 2024 "CM3" "Stauracanthus genistoides" 2 0 3
"159" 2024 "CM3" "Thymus mastichina" 0 0 4
"160" 2024 "CM4" "Cistus libanotis" 0 0 1
"161" 2024 "CM4" "Halimium commutatum" 8 0 4
"162" 2024 "CM4" "Halimium halimifolium" 4 0 1
"163" 2024 "CM4" "Lavandula stoechas" 24 4 24
"164" 2024 "CM4" "Rosmarinus officinalis" 4 0 4
"165" 2024 "CM4" "Stauracanthus genistoides" 2 0 0
"166" 2024 "CM4" "Thymus mastichina" 1 0 3
"167" 2024 "CM4" "Ulex australis" 10 1 4
"168" 2024 "CM5" "Cistus libanotis" 4 4 12
"169" 2024 "CM5" "Erica scoparia" 1 0 0
"170" 2024 "CM5" "Halimium commutatum" 3 0 6
"171" 2024 "CM5" "Halimium halimifolium" 6 1 13
"172" 2024 "CM5" "Lavandula stoechas" 19 8 32
"173" 2024 "CM5" "Osyris alba" 5 0 0
"174" 2024 "CM5" "Rosmarinus officinalis" 3 1 18
"175" 2024 "CM5" "Stauracanthus genistoides" 5 0 12
"176" 2024 "CM5" "Ulex australis" 3 0 3
"177" 2024 "CM6" "Cistus libanotis" 8 1 10
"178" 2024 "CM6" "Halimium commutatum" 1 0 0
"179" 2024 "CM6" "Halimium halimifolium" 1 0 0
"180" 2024 "CM6" "Juniperus phoenicea" 2 0 0
"181" 2024 "CM6" "Lavandula stoechas" 11 4 26
"182" 2024 "CM6" "Rosmarinus officinalis" 9 0 9
"183" 2024 "CM6" "Stauracanthus genistoides" 1 0 0
"184" 2024 "CM6" "Thymus mastichina" 1 0 7
"185" 2024 "CM6" "Ulex australis" 8 0 1
"186" 2024 "MM1" "Cistus libanotis" 9 3 17
"187" 2024 "MM1" "Erica scoparia" 1 0 0
"188" 2024 "MM1" "Halimium commutatum" 5 1 2
"189" 2024 "MM1" "Halimium halimifolium" 0 0 1
"190" 2024 "MM1" "Helichrysum picardii" 1 0 0
"191" 2024 "MM1" "Juniperus phoenicea" 1 0 0
"192" 2024 "MM1" "Rosmarinus officinalis" 12 1 3
"193" 2024 "MM2" "Cistus libanotis" 5 0 18
"194" 2024 "MM2" "Halimium commutatum" 7 0 2
"195" 2024 "MM2" "Halimium halimifolium" 18 0 7
"196" 2024 "MM2" "Helichrysum picardii" 7 0 4
"197" 2024 "MM2" "Juniperus phoenicea" 0 0 1
"198" 2024 "MM2" "Lavandula stoechas" 5 0 5
"199" 2024 "MM2" "Rosmarinus officinalis" 12 0 0
"200" 2024 "MM2" "Thymus mastichina" 2 1 1
"201" 2024 "MM2" "Ulex australis" 1 0 0
"202" 2024 "MM3" "Cistus libanotis" 0 0 16
"203" 2024 "MM3" "Cistus salviifolius" 1 0 0
"204" 2024 "MM3" "Erica scoparia" 2 0 3
"205" 2024 "MM3" "Halimium commutatum" 1 1 11
"206" 2024 "MM3" "Halimium halimifolium" 8 1 13
"207" 2024 "MM3" "Helichrysum picardii" 4 0 0
"208" 2024 "MM3" "Juniperus phoenicea" 1 0 9
"209" 2024 "MM3" "Lavandula stoechas" 1 0 5
"210" 2024 "MM3" "Phillyrea angustifolia" 1 0 0
"211" 2024 "MM3" "Rosmarinus officinalis" 15 2 12
"212" 2024 "MM4" "Cistus libanotis" 0 0 11
"213" 2024 "MM4" "Erica scoparia" 3 0 0
"214" 2024 "MM4" "Halimium commutatum" 23 9 7
"215" 2024 "MM4" "Halimium halimifolium" 15 1 18
"216" 2024 "MM4" "Helichrysum picardii" 1 0 0
"217" 2024 "MM4" "Juniperus phoenicea" 0 3 4
"218" 2024 "MM4" "Lavandula stoechas" 0 0 1
"219" 2024 "MM4" "Phillyrea angustifolia" 0 2 1
"220" 2024 "MM4" "Pinus pinea" 0 1 0
"221" 2024 "MM4" "Rosmarinus officinalis" 10 0 0
"222" 2024 "MM5" "Cistus libanotis" 9 2 14
"223" 2024 "MM5" "Halimium commutatum" 4 2 7
"224" 2024 "MM5" "Halimium halimifolium" 3 2 6
"225" 2024 "MM5" "Juniperus phoenicea" 0 1 0
"226" 2024 "MM5" "Lavandula stoechas" 9 4 10
"227" 2024 "MM5" "Osyris lanceolata" 1 0 0
"228" 2024 "MM5" "Rosmarinus officinalis" 57 1 2
"229" 2024 "MM5" "Stauracanthus genistoides" 1 0 0
"230" 2024 "MM6" "Calluna vulgaris" 2 0 3
"231" 2024 "MM6" "Cistus libanotis" 17 7 18
"232" 2024 "MM6" "Erica scoparia" 0 0 2
"233" 2024 "MM6" "Halimium commutatum" 20 7 12
"234" 2024 "MM6" "Halimium halimifolium" 11 1 3
"235" 2024 "MM6" "Juniperus phoenicea" 1 0 0
"236" 2024 "MM6" "Lavandula stoechas" 11 10 7
"237" 2024 "MM6" "Rosmarinus officinalis" 29 1 1
"238" 2024 "MM6" "Stauracanthus genistoides" 1 0 3
"239" 2024 "MM6" "Thymus mastichina" 1 0 0
"240" 2024 "OM1" "Cistus libanotis" 4 0 5
"241" 2024 "OM1" "Halimium commutatum" 13 2 11
"242" 2024 "OM1" "Halimium halimifolium" 0 0 7
"243" 2024 "OM1" "Juniperus phoenicea" 2 0 3
"244" 2024 "OM1" "Lavandula stoechas" 1 0 8
"245" 2024 "OM1" "Rosmarinus officinalis" 7 3 15
"246" 2024 "OM1" "Thymus mastichina" 1 0 5
"247" 2024 "OM2" "Cistus libanotis" 8 0 6
