"plot","ndvi","year","month","day"
"68",150.283752441406,"1984","08","25"
"63",138.104782104492,"1984","08","25"
"51",141.450180053711,"1984","08","25"
"61",146,"1984","08","25"
"59",143.512405395508,"1984","08","25"
"57",140.582962036133,"1984","08","25"
"56",138.898071289062,"1984","08","25"
"55",133.916870117188,"1984","08","25"
"54",130.667343139648,"1984","08","25"
"53",133.30680847168,"1984","08","25"
"52",137.386367797852,"1984","08","25"
"29",142.206420898438,"1984","08","25"
"8",151.776229858398,"1984","08","25"
"27",138.556900024414,"1984","08","25"
"26",160.971267700195,"1984","08","25"
"23",157.964614868164,"1984","08","25"
"21",160.218078613281,"1984","08","25"
"19",154.207916259766,"1984","08","25"
"17",150.680938720703,"1984","08","25"
"14",139.575592041016,"1984","08","25"
"10",156.419540405273,"1984","08","25"
"96",137.667892456055,"1984","08","25"
"73",150.526016235352,"1984","08","25"
"94",137.676696777344,"1984","08","25"
"92",139.024398803711,"1984","08","25"
"90",137.929275512695,"1984","08","25"
"87",137.993362426758,"1984","08","25"
"84",137.46533203125,"1984","08","25"
"81",138.704055786133,"1984","08","25"
"78",142.019653320312,"1984","08","25"
"76",161.311462402344,"1984","08","25"
"41",145.450210571289,"1984","08","25"
"50",149.293853759766,"1984","08","25"
"42",145.191757202148,"1984","08","25"
"43",146.3779296875,"1984","08","25"
"44",143.553421020508,"1984","08","25"
"45",142.818939208984,"1984","08","25"
"46",139.833297729492,"1984","08","25"
"47",142.663757324219,"1984","08","25"
"48",146.048522949219,"1984","08","25"
"49",146.567459106445,"1984","08","25"
"30",144,"1984","08","25"
"7",149.742446899414,"1984","08","25"
"28",146.935913085938,"1984","08","25"
"25",152.403106689453,"1984","08","25"
"24",147.876876831055,"1984","08","25"
"22",150.025985717773,"1984","08","25"
"20",147.723281860352,"1984","08","25"
"16",143.78385925293,"1984","08","25"
"13",141.562591552734,"1984","08","25"
"11",142.31803894043,"1984","08","25"
"99",141.864608764648,"1984","08","25"
"80",138.332443237305,"1984","08","25"
"98",138.163864135742,"1984","08","25"
"97",140.473541259766,"1984","08","25"
"95",137.330978393555,"1984","08","25"
"93",139.400588989258,"1984","08","25"
"91",142.601135253906,"1984","08","25"
"89",150.872711181641,"1984","08","25"
"86",139.400512695312,"1984","08","25"
"83",141,"1984","08","25"
"58",151.439468383789,"1984","08","25"
"75",145.4765625,"1984","08","25"
"72",143.747406005859,"1984","08","25"
"69",157.273803710938,"1984","08","25"
"67",145.29362487793,"1984","08","25"
"66",145.730133056641,"1984","08","25"
"64",146.58740234375,"1984","08","25"
"62",142.896881103516,"1984","08","25"
"60",143.161743164062,"1984","08","25"
"40",143.728271484375,"1984","08","25"
"31",154.438232421875,"1984","08","25"
"39",150.508331298828,"1984","08","25"
"38",144.504592895508,"1984","08","25"
"37",142,"1984","08","25"
